Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,youtubeURL,slido embed code,sponsorImg
Creativity stage,creativity-stage,5eb99d10c00a646b9c95520f,5ec05b56e7b5d5f809f48fed,Sat May 16 2020 21:29:58 GMT+0000 (Coordinated Universal Time),Mon May 18 2020 17:28:48 GMT+0000 (Coordinated Universal Time),Mon May 18 2020 17:33:12 GMT+0000 (Coordinated Universal Time),https://www.youtube.com/watch?v=KYBaB8A8wLY&feature=emb_title,https://app.sli.do/event/onajxwdh,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ebd8f17955546fd090a0eb1_file-google-logo-svg-wikimedia-commons-23.png
Startup stage,startup-stage,5eb99d10c00a646b9c95520f,5eb99d215283c46631ee328f,Mon May 11 2020 18:44:49 GMT+0000 (Coordinated Universal Time),Wed May 20 2020 20:51:47 GMT+0000 (Coordinated Universal Time),Wed May 20 2020 20:51:53 GMT+0000 (Coordinated Universal Time),https://www.youtube.com/watch?v=KYBaB8A8wLY&feature=emb_title,https://app.sli.do/event/amylz3jo,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ebd8f17955546fd090a0eb1_file-google-logo-svg-wikimedia-commons-23.png
Sustainability stage,sustainability-stage,5eb99d10c00a646b9c95520f,5ec05b3161d140feed026751,Sat May 16 2020 21:29:21 GMT+0000 (Coordinated Universal Time),Mon May 18 2020 17:29:39 GMT+0000 (Coordinated Universal Time),Mon May 18 2020 17:33:12 GMT+0000 (Coordinated Universal Time),https://www.youtube.com/watch?v=KYBaB8A8wLY&feature=emb_title,https://app.sli.do/event/onajxwdh,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ebd8f17955546fd090a0eb1_file-google-logo-svg-wikimedia-commons-23.png
Tech stage,tech-stage,5eb99d10c00a646b9c95520f,5eb99d18b9f775e738e70a75,Mon May 11 2020 18:44:40 GMT+0000 (Coordinated Universal Time),Mon May 18 2020 17:29:20 GMT+0000 (Coordinated Universal Time),Mon May 18 2020 17:33:12 GMT+0000 (Coordinated Universal Time),https://www.youtube.com/watch?v=KYBaB8A8wLY&feature=emb_title,https://app.sli.do/event/onajxwdh,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ebd8f17955546fd090a0eb1_file-google-logo-svg-wikimedia-commons-23.png
